directive_combination_id,representative_record_id,canonical_smiles,exact_monomer_name,solvent_name,solvent_system,supporting_electrolyte,measurement_count,clean_cv_agagcl_onset_count,clean_cv_agagcl_peak_count,native_fc_count,production_current_count,production_correction_required_count,staging_or_external_count,directive_quantity_eligible,has_current_pipeline_comparable,onset_profile_eligible,peak_profile_eligible,native_fc_profile_eligible,best_record_id,best_master_label_class,coverage_status,blocking_issue
combo-ce17b20c7faa31ef,PROD031,O=c1[nH][nH]c(=O)c2c(-c3cccs3)[nH]c(-c3cccs3)c12,"5,7-di(thiophen-2-yl)-2,3-dihydro-1H-pyrrolo[3,4-d]pyridazine-1,4(6H)-dione (cpd 5)",acetonitrile,0.1 M LiClO4/acetonitrile,0.1 M LiClO4,1,0,1,0,1,0,0,True,True,False,True,False,PROD031,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-d54b399a1456f24c,PROD039,C=Cn1c2ccccc2c2ccccc21,N-vinylcarbazole,acetonitrile,LiClO4/acetonitrile,LiClO4,1,1,0,0,1,0,0,True,True,True,False,False,PROD039,CLEAN_CV_ONSET_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-d8f6d8ef29997832,R11,c1sc(-c2cnc(-c3scc4c3OCCO4)c3nsnc23)c2c1OCCO2,"4,7-bis(2,3-dihydrothieno[3,4-b][1,4]dioxin-5-yl)-[1,2,5]thiadiazolo[3,4-c]pyridine",ACN/DCM,ACN/DCM,TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,R11,MIXED_SOLVENT_PARKED,MIXED_SOLVENT_PARKED,Mixed ACN/DCM pseudo-reference row remains staging-only for master closure.
combo-d954a62767256f9e,EXT_IJMS2023_IDOH_3HT,,IDOH-3HT,DCM,CH2Cl2,0.1 M Bu4NPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_IJMS2023_IDOH_3HT,PROVENANCE_BLOCKED,PROVENANCE_BLOCKED,Exact per-monomer Eonset values and structures require manual table normalization.
combo-dfefd127bd763a7f,PROD005,c1ccsc1,thiophene,acetonitrile,0.1 M TBAPF6/acetonitrile,0.1 M TBAPF6,1,0,0,0,0,1,0,False,False,False,False,False,PROD005,NON_CV_STEADY_STATE,CURRENT_PRODUCTION_CORRECTION_REQUIRED,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset."
combo-e1c7488b9d8a17d9,PROD027,c1coc(-c2ccc3[nH]c4ccc(-c5ccco5)cc4c3c2)c1,"3,6-di(2-furyl)-9H-carbazole (M1)",acetonitrile,0.1 M TBAH/acetonitrile,0.1 M TBAH (TBAPF6),1,0,1,0,1,0,0,True,True,False,True,False,PROD027,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-e3cd661ac58adc21,R18,COc1ccc(-c2nc3c(-c4scc5c4OCCO5)ccc(-c4scc5c4OCCO5)c3nc2-c2ccc(OC)cc2)cc1,"2,3-bis(4-methoxyphenyl)-5,8-bis(2,3-dihydrothieno[3,4-b][1,4]dioxin-5-yl)quinoxaline",ACN/DCM,ACN/DCM,TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,R18,SOURCE_CONFLICT,SOURCE_CONFLICT_BLOCKED,"source reference conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M.; source condition conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M."
combo-e40bb97d9f1e47b9,PROD008,c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,"2,2':5',2'':5'',2'''-tetrathiophene",acetonitrile,0.1 M TBAPF6/acetonitrile,0.1 M TBAPF6,1,0,0,0,0,1,0,False,False,False,False,False,PROD008,NON_CV_STEADY_STATE,CURRENT_PRODUCTION_CORRECTION_REQUIRED,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset."
combo-ecb73f4b5bebb742,PROD003,Brc1ccc(Br)s1,"3,4-dibromothiophene",acetonitrile,0.1 M TBABF4/acetonitrile,0.1 M TBABF4,1,0,1,0,1,0,0,True,True,False,True,False,PROD003,CLEAN_CV_PEAK_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-f211317847fc4052,R21,COc1ccc(-c2nc3c(-c4cccs4)ccc(-c4cccs4)c3nc2-c2ccc(OC)cc2)cc1,"2,3-bis(4-methoxyphenyl)-5,8-bis(thiophen-2-yl)quinoxaline",ACN/DCM,ACN/DCM,TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,R21,SOURCE_CONFLICT,SOURCE_CONFLICT_BLOCKED,"source reference conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M.; source condition conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M."
combo-f7b9b440efb32ca2,PROD021,CCCCC(CC)CN1C(=O)c2c(-c3ccco3)sc(-c3ccco3)c2C1=O,"FTPF (5-(2-ethylhexyl)-1,3-di(furan-2-yl)-thieno[3,4-c]pyrrole-4,6-dione)",DCM,0.1 M TBAH/dichloromethane,0.1 M TBAH (TBAPF6),2,1,1,0,2,0,0,True,True,True,True,False,PROD022,CLEAN_CV_ONSET_AGAGCL,CURRENT_PRODUCTION_ELIGIBLE,
combo-f97becc31f97ae7c,R20,COc1ccc(-c2nc3c(-c4sccc4C)ccc(-c4sccc4C)c3nc2-c2ccc(OC)cc2)cc1,"2,3-bis(4-methoxyphenyl)-5,8-bis(3-methylthiophen-2-yl)quinoxaline",ACN/DCM,ACN/DCM,TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,R20,SOURCE_CONFLICT,SOURCE_CONFLICT_BLOCKED,"source reference conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M.; source condition conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M."
combo-fa161b9fdc5d12c4,EXT_ZHU_M10,,Zhu 2017 monomer M10,DCM,DCM,0.1 M TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_ZHU_M10,REJECT,REJECTED,Source states M10 was not easily electropolymerized; reject for benchmark ingest.
combo-fb669a678d778229,EXT_EDOS_PC_TBAPF6,c1cc2c([se]1)OCCO2,"3,4-ethylenedioxyselenophene",propylene carbonate,propylene carbonate,0.1 M TBAPF6,1,0,0,0,0,0,1,False,False,False,False,False,EXT_EDOS_PC_TBAPF6,UNRESOLVED_REFERENCE,REFERENCE_BLOCKED,Ag/Ag+ reference is unresolved for current Ag/AgCl profile.
